,Port,Navire,Type Navire,Jauge Brute,Tirant Eau Entree Avant,Tirant Eau Entree Arriere,Tirant Eau Sortie Avant,Tirant Eau Sortie Arriere,Nbr Remorque Accostage,Nbr Remorque Appareillage,Nbr Remorque Changement,Nbr Remorque Assistance,Provenances,Destinations,Armateur Disposant,Armateur Proprietaire,Date Entrée au Port,Heure Entrée au Port,Date Entree Mouillage,Heure Entree Mouillage,Date Sortie Mouillage,Heure Sortie Mouillage,Date Accostage,Heure Accostage,Date App Quai,Heure App Quai,Poste Accostage,Date Appareillage Port,Heure Appareillage Port,Longueur,Tirant Eau,Sejour Rade (Jours),Sejour Mouillage (Jours),Sejour Quai (Jours),Sejour Port (Jours),Marchandise DAP Import,Tonnage DAP Import,Marchandise DAP Export,Tonnage DAP Export
10,CASABLANCA,KOCATEPE-S,VRAQUIER,10784,6.9,7.4,3.9,4.4,4,4,1,0,ALIAGA,A ORDRE,DINAMIK DENZCLK VE TC.A.,DINAMIK DENZCLK VE TC.A.,06/12/2025,16:31,06/12/2025 | 15/12/2025 | 17/12/2025,16:32 | 21:20 | 12:18,14/12/2025 | 16/12/2025 | 23/12/2025,15:59 | 10:19 | 13:25,14/12/2025 | 23/12/2025,17:40 | 14:40,15/12/2025 | 30/12/2025,20:30 | 16:00,"13 ,10 ,11 ,10 ,12 ,10",30/12/25,17:05,151.1,8.6,"0,00","14,56","8,17","24,02",FARDEAUX FER,12676.0,,0.0
11,CASABLANCA,AETERNO,VRAQUIER,23432,10.0,10.0,6.9,7.2,5,4,0,0,LEBANON,A ORDRE,BRAVE VENTURE SA,TRITHORN BULK,08/12/2025,14:26,08/12/2025 | 18/12/2025,14:27 | 15:37,14/12/2025 | 23/12/2025,19:32 | 14:38,14/12/2025 | 23/12/2025,21:10 | 16:05,18/12/2025 | 30/12/2025,14:30 | 00:05,"62 ,62 ,63",30/12/25,01:19,180.0,10.09,"0,00","11,17","10,06","21,45",CHARBON,33564.895,,0.0
12,CASABLANCA,FEDERAL HUDSON,VRAQUIER,20659,9.75,9.75,4.0,5.8,2,1,0,0,DUNKERQUE,A ORDRE,FEDNAV INTERNATIONAL LTD,FEDNAV INTERNATIONAL LTD,09/12/2025,08:46,09/12/2025 | 17/12/2025,08:47 | 10:14,16/12/2025 | 26/12/2025,08:00 | 01:44,26/12/2025,08:15,30/12/2025,20:45,"60 ,60",30/12/25,21:50,200.0,10.75,"0,00","15,61","4,52","21,55",BLE TENDRE,31413.0,,0.0
13,CASABLANCA,RESKO,VRAQUIER,20603,4.68,6.59,9.75,9.9,2,2,0,0,CASABLANCA,POLICE,ERATO THREE SHIPPING LTD,ERATO THREE SHIPPING LTD,26/12/2025,22:26,26/12/2025,22:27,29/12/2025,16:49,29/12/2025,19:30,30/12/2025,13:50,66,30/12/25,14:50,190.0,10.21,"0,00","2,77","0,76","3,68",,0.0,PHOSPHATE VRAC,27850.0
14,CASABLANCA,PONTA DO SOL,CONVENTIONEL,4115,5.5,5.5,5.5,5.5,0,0,0,0,"LISBOA , LEIXOES",LEIXOES,TRANSINSULAR TRANSPORTES MARITIMOS,TRANSINSULAR TRANSPORTES MARITIMOS,29/12/2025,14:38,29/12/2025,14:39,29/12/2025,20:25,29/12/2025,21:10,30/12/2025,04:55,71,30/12/25,05:35,100.62,6.4,"0,00","0,24","0,32","0,62",CONTENEURS,3600.0,CONTENEURS,120.0
15,CASABLANCA,ERASMUS GOAL,PORTE CONTENEUR,16770,8.3,8.5,9.0,10.0,2,1,0,0,"LE HAVRE , TANGER MED , ANTWERPEN , ROTTERDAM , VIGO , HAMBURG",AGADIR,FAIR WIND SINGAPORE PTE. LTD,FAIR WIND SINGAPORE PTE. LTD,26/12/2025,10:36,26/12/2025,10:37,26/12/2025,10:42,27/12/2025,21:10,29/12/2025,06:20,51,29/12/25,07:13,172.1,9.52,"0,00","0,00","1,38","2,86",CONTENEURS,8616.0,CONTENEURS,3718.0
16,CASABLANCA,CASABLANCA A,PORTE CONTENEUR,15995,9.3,9.0,9.1,9.7,2,2,0,0,TANGER MED,TANGER MED,MAROC FEEDERING,MAROC FEEDERING,14/12/2025,13:28,14/12/2025 | 17/12/2025 | 24/12/2025,13:29 | 13:43 | 10:01,16/12/2025 | 19/12/2025 | 27/12/2025,02:00 | 08:28 | 01:25,27/12/2025,03:55,29/12/2025,05:30,74,29/12/25,06:17,170.15,9.5,"0,00","5,94","2,07","14,70",CONTENEURS,2500.0,CONTENEURS,1400.0
17,CASABLANCA,CINZIA A,PORTE CONTENEUR,25535,10.35,10.75,10.35,10.75,2,1,0,0,"LA SPEZIA , EL ISKANDARIYA (= ALEXANDRIA) , GENOVA",GENOVA,DENEBOLA SHIPPING LIMITED,DENEBOLA SHIPPING LIMITED,12/12/2025,06:38,12/12/2025 | 18/12/2025 | 23/12/2025,06:39 | 05:52 | 19:31,15/12/2025 | 19/12/2025 | 24/12/2025,11:27 | 13:40 | 04:45,24/12/2025,06:00,29/12/2025,20:30,"74 ,71",29/12/25,21:10,199.98,12.0,"0,00","4,91","5,60","17,61",CONTENEURS,5300.0,CONTENEURS,2100.0
18,CASABLANCA,MSC JORDAN III,PORTE CONTENEUR,37071,10.5,10.5,10.3,10.3,2,2,0,0,"LA SPEZIA , CASTELLON DE LA PLANA , VALENCIA , BARCELONA",LA SPEZIA,OCTAMPA MANAGEMENT SA,OCTAMPA MANAGEMENT SA,14/12/2025,00:21,14/12/2025,00:22,14/12/2025,00:30,26/12/2025,09:40,29/12/2025,22:10,80,29/12/25,22:52,237.0,10.3,"0,00","0,01","3,52","15,94",CONTENEURS,27300.0,CONTENEURS,9800.0
19,CASABLANCA,EINSTEIN,PORTE CONTENEUR,10585,7.2,8.0,7.6,7.6,1,1,0,0,"CASTELLON DE LA PLANA , ALICANTE , HUELVA , BARCELONA",HUELVA,ALISIOS SHIPPING LINES,RAMBOW REEDEREI,15/12/2025,06:51,15/12/2025 | 17/12/2025,06:52 | 09:06,17/12/2025 | 29/12/2025,04:40 | 04:52,29/12/2025,06:40,29/12/2025,21:19,74,29/12/25,21:55,151.0,7.6,"0,00","13,73","0,61","14,63",CONTENEURS,23.36,CONTENEURS,123.3
20,CASABLANCA,ARKLOW BRAVE,VRAQUIER,5065,5.6,6.2,3.0,3.5,0,0,0,0,TILBURY,A ORDRE,GLENTHOME SHIPPING,GLENTHOME SHIPPING,15/12/2025,08:30,15/12/2025 | 17/12/2025,08:31 | 08:14,16/12/2025 | 26/12/2025,13:15 | 07:30,26/12/2025,09:10,29/12/2025,13:30,10,29/12/25,14:20,119.49,7.19,"0,00","10,17","3,18","14,24",FERRAILLES EN VRAC,5800.0,,0.0
21,CASABLANCA,KANG HUAN,VRAQUIER,29995,4.5,5.5,12.0,12.0,2,2,0,0,CASELLA,KARACHI,"COSCO SHIPPING BULK CO., LTD.","COSCO SHIPPING BULK CO., LTD.",16/12/2025,20:14,16/12/2025 | 17/12/2025 | 22/12/2025,20:15 | 13:46 | 16:16,16/12/2025 | 21/12/2025 | 27/12/2025,20:25 | 19:59 | 08:05,27/12/2025,09:35,29/12/2025,09:15,66,29/12/25,10:30,189.99,12.02,"0,00","8,92","1,99","12,60",,0.0,PHOSPHATE VRAC,50000.0
22,CASABLANCA,VERTOM ANNE MARIT,CONVENTIONEL,4766,3.1,4.1,5.85,6.35,0,0,0,0,SEVILLA,CAEN,VERTOM BEREEDERUNGS GMBH&CO.KG,VERTOM BEREEDERUNGS GMBH&CO.KG,25/12/2025,17:15,25/12/2025,17:16,25/12/2025,22:05,25/12/2025,23:30,29/12/2025,05:30,R2,29/12/25,07:00,118.6,6.24,"0,00","0,20","3,25","3,57",,0.0,SEL,6800.0
23,CASABLANCA,LAKE COMO,VOITURIER,47168,9.0,9.0,9.0,9.1,2,1,0,0,"SETÚBAL , MONTOIR-DE-BRETAGNE , ZEEBRUGGE , VIGO",A ORDRE,EASTERN PACIFIC SHIPPING (UK) LTD,EASTERN PACIFIC SHIPPING (UK) LTD,25/12/2025,17:54,25/12/2025,17:55,25/12/2025,18:00,27/12/2025,02:00,29/12/2025,05:15,44,29/12/25,06:03,182.8,9.0,"0,00","0,00","2,14","3,51",VEHICULES,1450.0,,0.0
24,CASABLANCA,SILVER MUSE,PASSAGERS,40802,6.7,6.7,0.0,0.0,1,0,0,0,TANGIER,PORTO SANTO ISLAND,SILVERSEA MUSE SHIPPING CO.LTD.,SILVERSEA MUSE SHIPPING CO.LTD.,28/12/2025,06:31,,,,,28/12/2025,07:55,29/12/2025,18:20,QC1,29/12/25,19:06,212.8,6.7,"0,00","0,00","1,43","1,52",,0.0,,0.0
25,CASABLANCA,GRANDE HALIFAX,CONVENTIONEL,62134,9.1,9.1,9.1,9.1,2,1,0,0,SALERNO,DAKAR,GRIMALDI GROUPE NAPOLI,GRIMALDI GROUPE NAPOLI,26/12/2025,00:58,26/12/2025,00:59,26/12/2025,01:43,29/12/2025,06:35,29/12/2025,21:30,44,29/12/25,22:10,199.9,10.0,"0,00","0,03","0,62","3,88",VEHICULES,1200.0,VEHICULES,100.0
26,CASABLANCA,CELEBRITY INFINITY,CROISIERE/PAQUEBOT,90940,5.1,5.1,0.0,0.0,0,0,0,0,TENERIFE,TANGIER,CELEBRITY CRUISE INC,CELEBRITY CRUISE INC,29/12/2025,06:27,,,,,29/12/2025,07:25,29/12/2025,17:20,QC1,29/12/25,18:02,294.0,8.3,"0,00","0,00","0,41","0,48",,0.0,,0.0
27,CASABLANCA,JADELAND,CONVENTIONEL,4220,5.0,5.0,4.0,4.0,1,0,0,0,MÁLAGA,A ORDRE,"MS ""JADELAND"" GMBH & CO. KG","MS ""JADELAND"" GMBH & CO. KG",19/12/2025,22:26,19/12/2025,22:27,27/12/2025,06:03,27/12/2025,07:30,27/12/2025,23:05,T2,28/12/25,00:10,106.04,5.97,"0,00","7,32","0,65","8,07",AMONITRATE,1500.0,,0.0
28,CASABLANCA,CELTIC MARINER,VRAQUIER,2967,6.22,6.22,4.0,4.0,0,0,0,0,KOPER,A ORDRE,CONTI-CARWIL LTD.,NAVIGIA  B.V,25/12/2025,06:38,25/12/2025,06:39,27/12/2025,16:31,27/12/2025,17:25,28/12/2025,03:45,22,28/12/25,04:50,89.95,6.22,"0,00","2,41","0,43","2,93",CONTENEURS,1000.0,,0.0
29,CASABLANCA,CMA CGM TOPAZ,PORTE CONTENEUR,40560,11.8,12.0,9.0,9.0,2,2,0,0,"MALTA FREEPORT DISTRIPARK , ALIAGA , GEBZE , AMBARLI , IZMIT , VALENCIA , CONSTANTA",TANGER MED,STRYMONIKOS MARITIME LTD.,STRYMONIKOS MARITIME LTD.,20/12/2025,15:20,20/12/2025,15:21,23/12/2025,19:15,23/12/2025,21:10,27/12/2025,14:35,54,27/12/25,15:25,258.92,12.6,"0,00","3,16","3,73","7,00",CONTENEURS,13014.0,CONTENEURS,13575.0
30,CASABLANCA,CIELO DI RABAT,PORTE CONTENEUR,21531,11.0,11.0,8.0,8.0,1,1,0,0,"ALGECIRAS , TANGER MED",ALGECIRAS,D AMICO DRY LTD,D AMICO DRY LTD,08/12/2025,06:56,08/12/2025 | 17/12/2025,06:57 | 12:39,16/12/2025 | 23/12/2025,10:06 | 18:50,23/12/2025,20:15,27/12/2025,02:00,74,27/12/25,02:44,182.0,11.55,"0,00","14,39","3,24","18,83",CONTENEURS,23153.0,CONTENEURS,8000.0
31,CASABLANCA,DANIEL A,PORTE CONTENEUR,14193,8.4,8.85,8.4,8.85,1,2,0,0,"ALGECIRAS , VALENCIA",ALGECIRAS,ARKAS KONTEYNER TAS..A.S,ARKAS KONTEYNER TAS..A.S,14/12/2025,12:37,14/12/2025,12:38,14/12/2025,12:52,26/12/2025,00:50,27/12/2025,20:30,83,27/12/25,21:15,156.0,9.0,"0,00","0,01","1,82","13,36",CONTENEURS,5300.0,CONTENEURS,2100.0
32,CASABLANCA,VENTO DI GRECALE,PORTE CONTENEUR,18848,7.0,7.5,7.0,7.5,2,1,0,0,"LA SPEZIA , BEIRUT , EL ISKANDARIYA (= ALEXANDRIA) , MERSIN , SALERNO , GENOVA , BARCELONA",LEIXOES,HAO SHE LIMITED,HAO SHE LIMITED,25/12/2025,03:24,,,,,25/12/2025,04:40,27/12/2025,19:10,51,27/12/25,20:00,171.9,9.7,"0,00","0,00","2,60","2,69",CONTENEURS,7500.0,CONTENEURS,2500.0
33,CASABLANCA,GRANDE FRANCIA,ROULIER,57000,9.5,9.5,10.29,10.29,2,1,0,0,ANTWERPEN,DAKAR,GRIMALDI DEEP SEA S.P.A.,GRIMALDI DEEP SEA S.P.A,20/12/2025,15:03,20/12/2025,15:04,23/12/2025,15:03,23/12/2025,16:20,27/12/2025,00:15,44,27/12/25,01:02,214.0,10.29,"0,00","3,00","3,33","6,42",VEHICULES,1500.0,VEHICULES,900.0
34,CASABLANCA,OSLO CARRIER 2,CONVENTIONEL,6668,7.5,8.2,4.0,5.6,0,0,0,0,"HAMINA (FREDRIKSHAMN) , ÖRKELLJUNGA",AGADIR,OSLO CARRIER AS,OSLO CARRIER AS,15/12/2025,18:25,15/12/2025 | 18/12/2025,18:26 | 11:03,15/12/2025 | 25/12/2025,18:35 | 20:48,25/12/2025,22:35,27/12/2025,21:25,30,27/12/25,22:25,107.0,8.29,"0,00","7,41","1,95","12,17",BOIS EN FARDEAUX PREELING,5013.0,,0.0
35,CASABLANCA,FWN STAR,CONVENTIONEL,6749,7.6,7.7,7.4,7.6,0,1,0,0,GDYNIA,GIBRALTAR,FORESTWAVE NAVIGATION BV,FORESTWAVE NAVIGATION BV,17/12/2025,09:04,17/12/2025 | 24/12/2025,09:05 | 08:41,17/12/2025 | 27/12/2025,09:56 | 01:25,27/12/2025,02:55,27/12/2025,19:35,72,27/12/25,20:20,122.5,7.81,"0,00","2,73","0,69","10,47",COLIS LOURD,222.0,,0.0
36,CASABLANCA,NEPTUNE ETHOS,ROULIER,47266,9.2,9.2,9.0,9.4,2,1,0,0,"SÈTE , BARCELONA",A ORDRE,NEPTUNE LINES,NEPTUNE LINES,24/12/2025,13:26,,,,,24/12/2025,17:20,27/12/2025,06:15,T5T6,27/12/25,06:55,182.8,9.0,"0,00","0,00","2,54","2,73",VEHICULES,2851.0,VEHICULES,159.0
37,CASABLANCA,PEARL ETERNITY,VRAQUIER,36298,4.5,5.5,8.5,9.5,2,2,0,0,MO I RANA,PARADIP GARH,GENYO KAIUN CO LTD.,GENYO KAIUN CO LTD.,13/12/2025,23:36,13/12/2025 | 17/12/2025,23:37 | 09:11,15/12/2025 | 25/12/2025,18:23 | 12:13,25/12/2025,14:40,27/12/2025,08:05,66,27/12/25,09:11,199.99,13.52,"0,00","9,91","1,73","13,40",,0.0,PHOSPHATE VRAC,50000.0
38,CASABLANCA,VON ADLER,CONVENTIONEL,2469,5.71,5.71,4.0,4.0,0,0,0,0,"CEUTA , PORTO NOGARO , RIJEKA",A ORDRE,CONTI-CARWIL LTD.,VON ADLER SHIPING B.V,18/12/2025,19:54,18/12/2025,19:55,25/12/2025,11:52,25/12/2025,13:55,26/12/2025,23:50,T2,27/12/25,00:47,85.66,5.71,"0,00","6,66","1,41","8,20",FARDEAUX DE BOIS,1000.0,,0.0
39,CASABLANCA,OPTIMUS S,TANKER,3466,5.3,6.2,2.8,5.2,0,0,0,0,CARTAGENA,A ORDRE,Q-SHIPPING BV,Q-SHIPPING BV,25/12/2025,23:38,26/12/2025,17:40,26/12/2025,18:45,26/12/2025 | 26/12/2025,01:15 | 19:30,26/12/2025 | 27/12/2025,16:50 | 16:15,"22 ,22",27/12/25,17:17,102.9,6.23,"0,00","0,05","1,51","1,74",HUILE DE PALM,3000.0,,0.0
40,CASABLANCA,SEA HUNTER,VRAQUIER,30669,4.4,6.8,3.5,5.0,9,12,0,8,SHANGHAI,A ORDRE,HUNTER SHIPPING LTD,TAIWAN NAVIGATION,02/12/2025,12:31,02/12/2025 | 09/12/2025 | 15/12/2025 | 18/12/2025 | 22/12/2025 | 23/12/2025,12:32 | 23:24 | 22:25 | 11:21 | 16:15 | 19:30,07/12/2025 | 14/12/2025 | 17/12/2025 | 20/12/2025 | 22/12/2025 | 24/12/2025,19:45 | 14:16 | 08:21 | 22:13 | 16:35 | 14:15,07/12/2025 | 14/12/2025 | 20/12/2025 | 23/12/2025 | 24/12/2025,21:15 | 15:50 | 23:35 | 17:15 | 16:00,09/12/2025 | 15/12/2025 | 22/12/2025 | 23/12/2025 | 26/12/2025,22:10 | 21:15 | 15:20 | 18:25 | 04:45,"13 ,12 ,10 ,13 ,13 ,13",26/12/25,06:10,189.99,12.48,"0,00","14,58","6,50","23,74",MATERIELS DIVERS,5360.0,,0.0
41,CASABLANCA,AKNOUL,ROULIER,6809,5.0,6.0,5.0,6.0,1,0,0,0,MARSEILLE,MARSEILLE,CMA-CGM,CMA-CGM,23/12/2025,18:56,23/12/2025,18:57,24/12/2025,13:15,24/12/2025,14:15,26/12/2025,04:35,A2,26/12/25,05:25,122.0,6.16,"0,00","0,76","1,60","2,44",CONTENEURS,1544.0,REMORQUES VIDES,981.0
42,CASABLANCA,PALAU,VRAQUIER,19795,9.1,9.5,6.0,6.0,2,2,0,0,UST LUGA,A ORDRE,VIABLE SHIPPING CO. LTD,VIABLE SHIPPING CO. LTD,01/12/2025,09:03,01/12/2025,09:04,12/12/2025,18:43,21/12/2025,03:45,26/12/2025,17:20,20,26/12/25,18:20,177.0,8.9,"0,00","11,40","5,57","25,39",BLE TENDRE FOURRAGER,29200.0,,0.0
43,CASABLANCA,IONIKOS,PORTE CONTENEUR,40560,10.2,10.0,10.2,11.2,2,2,0,0,"IZMIR , ISTANBUL",BARCELONA,IONIKOS MARITIME LTD.,IONIKOS MARITIME LTD.,13/12/2025,01:08,13/12/2025 | 14/12/2025 | 23/12/2025,01:09 | 16:35 | 15:15,13/12/2025 | 15/12/2025 | 24/12/2025,01:15 | 13:31 | 08:48,24/12/2025,10:20,26/12/2025,08:10,80,26/12/25,08:40,258.92,12.6,"0,00","1,61","1,91","13,31",CONTENEURS,5300.0,CONTENEURS,1200.0
44,CASABLANCA,CONTSHIP PEP II,PORTE CONTENEUR,21842,11.3,11.35,11.3,11.35,2,1,0,0,VALENCIA,ALGECIRAS,SEA BRILLIANCE INC,SEA BRILLIANCE INC,11/12/2025,14:37,11/12/2025 | 16/12/2025,14:38 | 16:39,13/12/2025 | 17/12/2025,04:35 | 05:11,23/12/2025,19:00,25/12/2025,23:05,83,26/12/25,00:07,189.5,11.36,"0,00","2,10","2,17","14,40",CONTENEURS,16000.0,CONTENEURS,10000.0
45,CASABLANCA,RESKO,VRAQUIER,20603,9.75,9.75,4.2,6.1,2,2,0,0,ROSTOCK,A ORDRE,ERATO THREE SHIPPING LTD,ERATO THREE SHIPPING LTD,07/12/2025,10:10,07/12/2025 | 17/12/2025,10:11 | 14:15,15/12/2025 | 21/12/2025,18:40 | 00:15,21/12/2025,01:50,25/12/2025,23:25,60,26/12/25,01:01,190.0,10.21,"0,00","11,77","4,90","18,62",BLE TENDRE,27201.19,,0.0
46,CASABLANCA,MULTIMARE,CONVENTIONEL,2848,5.7,5.9,3.2,4.4,0,0,0,0,KALININGRAD,A ORDRE,MULTIMAR SHIPPING LTD,MULTIMAR SHIPPING LTD,19/12/2025,09:34,19/12/2025 | 20/12/2025,09:35 | 08:26,19/12/2025 | 23/12/2025,19:25 | 12:00,23/12/2025,13:15,25/12/2025,23:00,R4,26/12/25,00:03,89.78,5.85,"0,00","3,56","2,41","6,60",COKE DE SOJA,3730.0,,0.0
47,CASABLANCA,SAMSKIP TOUBKAL,PORTE CONTENEUR,10318,7.0,7.0,6.0,6.0,0,0,0,0,"ROTTERDAM , TILBURY",AGADIR,MS WES HEINRICH SCHIFFAHRTS GMBH,SCHIFFAHRTS GMBH 1 CO HAREN,25/12/2025,10:01,25/12/2025,10:02,26/12/2025,16:25,,,,,,26/12/25,16:26,151.74,8.0,"0,00","1,27","0,00","1,27",CONTENEURS,26.0,CONTENEURS,3.0
48,CASABLANCA,AMBIENCE,CROISIERE/PAQUEBOT,70285,7.2,7.1,0.0,0.0,0,0,1,0,LISBOA,ARRECIFE DE LANZAROTE,WAKE ASSET CO LTD,WAKE ASSET CO LTD,26/12/2025,06:36,,,,,26/12/2025,07:40,26/12/2025,23:10,QC1,26/12/25,23:41,245.08,8.1,"0,00","0,00","0,65","0,71",,0.0,,0.0
49,CASABLANCA,BBC TOPAZ,CONVENTIONEL,12810,7.3,7.9,5.4,6.7,2,1,0,0,HAMBURG,A ORDRE,BBC CHARTERING CARRIERS GMBH&CO.KG,BBC CHARTERING CARRIERS GMBH&CO.KG,17/12/2025,21:17,17/12/2025 | 24/12/2025,21:18 | 07:46,17/12/2025 | 24/12/2025,21:20 | 23:20,25/12/2025,01:05,25/12/2025,11:55,32,25/12/25,12:41,153.43,9.11,"0,00","0,65","0,45","7,64",MATERIELS DIVERS,190.0,,0.0
50,CASABLANCA,MERWEBORG,CONVENTIONEL,6540,6.8,7.2,5.0,5.6,0,0,0,0,BOLLSTABRUK,AGADIR,WAGENBORG SHIPPING B.V,WAGENBORG SHIPPING B.V,14/12/2025,15:02,14/12/2025 | 17/12/2025,15:03 | 15:32,15/12/2025 | 24/12/2025,16:07 | 02:20,24/12/2025,03:40,24/12/2025,23:40,32,25/12/25,00:34,134.5,7.13,"0,00","7,49","0,83","10,40",BOIS EN FARDEAUX PREELING,3670.0,,0.0
51,CASABLANCA,PRINCESS NABIHA     ,CONVENTIONEL,5822,6.62,6.62,4.0,4.0,1,0,0,0,ISKENDERUN,A ORDRE,NABIHA SHIPPING LTD,HARREN & PARTNER SHIFFAHRTS,18/12/2025,07:04,18/12/2025,07:05,18/12/2025,18:06,24/12/2025,00:50,25/12/2025,22:40,R2,25/12/25,23:38,101.0,6.15,"0,00","0,46","1,91","7,69",TUBE EN ACIER,1342.0,,0.0
52,CASABLANCA,ATTU,CONVENTIONEL,2774,5.2,5.7,2.8,3.5,0,0,0,0,SAINT PETERSBURG (EX LENINGRAD),A ORDRE,INTERCONTINENTAL SHIPPING GROUP LIM,INTERCONTINENTAL SHIPPING GROUP LIM,17/12/2025,19:46,17/12/2025,19:47,20/12/2025,16:00,20/12/2025,17:10,25/12/2025,12:25,T2,25/12/25,13:18,89.8,5.7,"0,00","2,84","4,80","7,73",BARS EN  ALUMINIUM,3018.0,,0.0
